"energy","zcr","peak","dominant_frequency","label"
37864730,0.43335,1044,923,"bell"
24396058,0.436279,1105,33,"bell"
401311206,0.57373,1125,928,"bell"
13365736,0.451416,984,933,"bell"
18331725,0.466064,903,136,"bell"
39416496,0.496826,909,929,"bell"
14112708,0.464355,498,929,"bell"
13079181,0.439941,539,933,"bell"
253138169,0.539795,991,932,"bell"
14563183,0.463135,816,931,"bell"
133444381,0.54126,862,932,"bell"
37547304,0.450684,838,933,"bell"
24357413,0.457031,981,937,"bell"
203838573,0.527588,948,935,"bell"
226564049,0.592041,966,1982,"bell"
19474532,0.476318,784,929,"bell"
121884903,0.586914,923,861,"bell"
20658073,0.452637,908,936,"bell"
51161539,0.442383,689,932,"bell"
17914496,0.428711,924,222,"bell"
76803747,0.473877,1112,931,"bell"
29953006,0.419922,969,339,"bell"
37082141,0.537109,971,929,"bell"
5587961,0.408447,493,282,"bell"
82022827,0.334717,1023,924,"bell"
18602024,0.418213,961,919,"bell"
111391328,0.607422,942,1987,"bell"
42026113,0.510254,759,925,"bell"
25419128,0.505371,457,920,"bell"
122465122,0.58252,905,918,"bell"
161376414,0.630127,863,937,"bell"
41463184,0.380371,982,48,"bell"
49502457,0.488525,794,935,"bell"
13957472,0.449463,665,938,"bell"
12389114,0.44165,553,937,"bell"
10244400,0.423584,593,41,"bell"
36024174,0.5979,773,855,"bell"
11988913,0.435303,871,947,"bell"
37984036,0.425293,970,932,"bell"
26212464,0.4729,923,933,"bell"
220385523,0.617432,1017,927,"bell"
73441065,0.498535,838,931,"bell"
31864236,0.431885,1119,112,"bell"
62700593,0.498779,873,841,"bell"
82911540,0.638428,973,937,"bell"
16486744,0.446533,1347,78,"bell"
51418603,0.491943,1522,932,"bell"
13940445,0.418945,1022,947,"bell"
29192092,0.44873,1088,934,"bell"
291298326,0.540283,1278,931,"bell"
294436170,0.580322,937,925,"bell"
38268493,0.460938,847,926,"bell"
10985548,0.439209,414,52,"bell"
24615371,0.463379,471,848,"bell"
30741251,0.437256,871,931,"bell"
11740645,0.456055,814,36,"bell"
12617313,0.420166,593,36,"bell"
41458393,0.455811,944,935,"bell"
107604510,0.595215,920,933,"bell"
12394765,0.411133,808,41,"bell"
11345469,0.411621,287,938,"bell"
60379115,0.537354,811,941,"bell"
13356284,0.437744,379,39,"bell"
36333569,0.573486,494,932,"bell"
24548961,0.551758,496,1981,"bell"
105692288,0.628174,718,1985,"bell"
39629962,0.496582,590,935,"bell"
12933216,0.44458,308,944,"bell"
11711316,0.42627,417,938,"bell"
26564387,0.511963,492,942,"bell"
83845558,0.577881,1007,929,"bell"
410213703,0.708984,974,1990,"bell"
112981746,0.644043,819,1990,"bell"
30638237,0.499756,733,932,"bell"
14477744,0.484375,530,592,"bell"
99946397,0.519287,1096,930,"bell"
124731252,0.605957,899,927,"bell"
27616792,0.461914,644,933,"bell"
12024057,0.470459,670,934,"bell"
68133989,0.540039,649,933,"bell"
113335790,0.549316,1115,939,"bell"
18352285,0.445068,1514,854,"bell"
27640186,0.477539,612,938,"bell"
47241743,0.453613,759,935,"bell"
21398304,0.450928,967,932,"bell"
379770921,0.646729,964,933,"bell"
289173539,0.460938,1059,933,"bell"
166531140,0.633057,971,938,"bell"
328645125,0.593262,1115,930,"bell"
160472133,0.586914,902,929,"bell"
247880633,0.396729,993,954,"bell"
256039098,0.385986,1062,956,"bell"
207267070,0.348633,1000,938,"bell"
178060737,0.333496,1025,859,"bell"
51716389,0.27124,1457,63,"bell"
71753563,0.331299,1013,63,"bell"
32920942,0.237793,1521,63,"bell"
54055524,0.259277,962,63,"bell"
56240358,0.266113,984,63,"bell"
83978035,0.361328,962,63,"bell"
16174093,0.452148,869,141,"clap"
23207358,0.450439,1000,125,"clap"
16045719,0.423584,980,36,"clap"
9303047,0.408203,1019,63,"clap"
49301171,0.406738,1521,24,"clap"
12393956,0.430908,851,162,"clap"
42314413,0.423828,975,83,"clap"
40405156,0.404541,1009,132,"clap"
23100536,0.45459,914,135,"clap"
15532035,0.442383,769,139,"clap"
36958650,0.251709,922,295,"clap"
72970049,0.226318,612,239,"clap"
92077973,0.191162,1066,239,"clap"
58603728,0.219971,946,240,"clap"
56364394,0.219971,799,239,"clap"
57832222,0.221436,846,239,"clap"
48310523,0.223145,768,239,"clap"
43643264,0.238525,812,239,"clap"
52395562,0.249512,1024,63,"clap"
38607154,0.216064,861,239,"clap"
53575310,0.417236,1524,194,"clap"
25242634,0.4104,979,361,"clap"
25625513,0.45874,1181,270,"clap"
25308466,0.449219,958,327,"clap"
20770616,0.467285,732,804,"clap"
26018374,0.426758,805,363,"clap"
22139251,0.453125,929,304,"clap"
21921595,0.429443,958,221,"clap"
26884903,0.397949,989,216,"clap"
