"energy","zcr","peak","dominant_frequency","spectral_centroid","spectral_bandwidth","label"
320304928,0.61084,993,941,1110.153198,535.216858,"bell"
149092336,0.499268,1048,938,1039.310669,551.62146,"bell"
168350320,0.513428,953,941,1013.176208,536.129639,"bell"
269440608,0.606201,1037,938,1101.837769,564.494263,"bell"
224569232,0.525146,1138,942,1044.421997,545.286316,"bell"
79461064,0.513916,795,942,1009.538269,552.72644,"bell"
30903032,0.506348,919,1979,942.685913,597.093323,"bell"
51101936,0.534912,901,1976,994.467285,545.115723,"bell"
46305284,0.480713,610,945,978.584106,556.244446,"bell"
54722900,0.469727,1034,956,994.729797,557.577209,"bell"
238814000,0.663086,935,1988,1111.686157,615.573486,"bell"
204841440,0.624023,867,1993,1067.392578,564.888306,"bell"
216098672,0.5271,938,914,990.487183,542.44043,"bell"
146056928,0.544189,883,912,1020.131836,576.730652,"bell"
154784416,0.557129,891,913,1035.640015,536.777832,"bell"
33467892,0.497803,740,1993,1002.87616,595.902832,"bell"
45589840,0.447266,820,916,928.178162,566.504578,"bell"
21205220,0.472656,523,912,975.358337,577.250854,"bell"
15290459,0.462402,516,34,970.781006,598.504333,"bell"
33860724,0.468262,634,909,933.24939,598.276367,"bell"
365047168,0.660645,1035,1990,1130.796387,570.628784,"bell"
36693120,0.506348,1127,926,1105.07019,559.768494,"bell"
42564536,0.554199,1516,920,1120.768677,557.947693,"bell"
31552576,0.620361,1365,1987,1019.975769,580.390015,"bell"
208514000,0.490234,1011,918,1007.384155,545.195435,"bell"
36284652,0.5625,806,1987,999.143066,612.269287,"bell"
18529252,0.470459,735,917,905.795715,579.291016,"bell"
23030588,0.490479,658,926,988.303833,578.678955,"bell"
19867988,0.485107,503,917,954.969543,579.440369,"bell"
19609956,0.466553,471,922,961.499023,572.60376,"bell"
53180972,0.47583,1087,924,892.653503,557.867493,"bell"
127014752,0.62085,998,1985,999.147095,602.965027,"bell"
39726144,0.566895,899,1981,916.2099,592.590149,"bell"
27509592,0.465332,855,935,818.292786,576.693054,"bell"
48282708,0.447266,1005,931,773.927246,621.090454,"bell"
219221472,0.604248,1136,1983,918.810669,614.309082,"bell"
