"energy","zcr","peak","dominant_frequency","label"
37864730,0.43335,1044,923,"bell"
24396058,0.436279,1105,33,"bell"
401311206,0.57373,1125,928,"bell"
13365736,0.451416,984,933,"bell"
18331725,0.466064,903,136,"bell"
39416496,0.496826,909,929,"bell"
14112708,0.464355,498,929,"bell"
13079181,0.439941,539,933,"bell"
253138169,0.539795,991,932,"bell"
14563183,0.463135,816,931,"bell"
133444381,0.54126,862,932,"bell"
37547304,0.450684,838,933,"bell"
24357413,0.457031,981,937,"bell"
203838573,0.527588,948,935,"bell"
226564049,0.592041,966,1982,"bell"
19474532,0.476318,784,929,"bell"
121884903,0.586914,923,861,"bell"
20658073,0.452637,908,936,"bell"
51161539,0.442383,689,932,"bell"
17914496,0.428711,924,222,"bell"
76803747,0.473877,1112,931,"bell"
29953006,0.419922,969,339,"bell"
37082141,0.537109,971,929,"bell"
5587961,0.408447,493,282,"bell"
82022827,0.334717,1023,924,"bell"
18602024,0.418213,961,919,"bell"
111391328,0.607422,942,1987,"bell"
42026113,0.510254,759,925,"bell"
25419128,0.505371,457,920,"bell"
122465122,0.58252,905,918,"bell"
16174093,0.452148,869,141,"clap"
23207358,0.450439,1000,125,"clap"
16045719,0.423584,980,36,"clap"
9303047,0.408203,1019,63,"clap"
49301171,0.406738,1521,24,"clap"
12393956,0.430908,851,162,"clap"
42314413,0.423828,975,83,"clap"
40405156,0.404541,1009,132,"clap"
23100536,0.45459,914,135,"clap"
15532035,0.442383,769,139,"clap"
36958650,0.251709,922,295,"clap"
72970049,0.226318,612,239,"clap"
92077973,0.191162,1066,239,"clap"
58603728,0.219971,946,240,"clap"
56364394,0.219971,799,239,"clap"
57832222,0.221436,846,239,"clap"
48310523,0.223145,768,239,"clap"
43643264,0.238525,812,239,"clap"
52395562,0.249512,1024,63,"clap"
38607154,0.216064,861,239,"clap"
53575310,0.417236,1524,194,"clap"
25242634,0.4104,979,361,"clap"
25625513,0.45874,1181,270,"clap"
25308466,0.449219,958,327,"clap"
20770616,0.467285,732,804,"clap"
26018374,0.426758,805,363,"clap"
22139251,0.453125,929,304,"clap"
21921595,0.429443,958,221,"clap"
26884903,0.397949,989,216,"clap"
17899786,0.428711,945,244,"clap"
55421112,0.444824,1090,149,"door"
19615706,0.45874,948,173,"door"
43651417,0.442383,945,22,"door"
20595877,0.439453,786,162,"door"
55443649,0.470947,880,111,"door"
17841102,0.472168,890,49,"door"
65149585,0.44458,1005,41,"door"
15992900,0.460205,909,49,"door"
77315886,0.438721,1032,152,"door"
30630277,0.447998,1022,33,"door"
58544572,0.447754,1001,105,"door"
28153508,0.438721,922,36,"door"
21238275,0.418701,976,37,"door"
41748111,0.41626,1072,35,"door"
35630596,0.431396,853,58,"door"
17322332,0.371826,1009,22,"door"
12216779,0.458496,666,61,"door"
29586246,0.436523,1085,116,"door"
22239540,0.458984,612,24,"door"
15400121,0.443359,931,73,"door"
38100426,0.445312,941,825,"door"
39371542,0.464844,981,825,"door"
13682878,0.431396,492,58,"door"
39044902,0.445557,721,54,"door"
12588851,0.449463,317,30,"door"
11271974,0.443604,440,53,"door"
21460649,0.453369,437,76,"door"
27051598,0.462891,539,106,"door"
12416633,0.442627,619,42,"door"
27590899,0.464355,663,45,"door"
97492473,0.4646,918,85,"sink"
17996669,0.441895,970,32,"sink"
42259510,0.437744,836,26,"sink"
17916563,0.443604,956,66,"sink"
15587883,0.453125,851,68,"sink"
19251143,0.456543,976,181,"sink"
61520419,0.456055,938,52,"sink"
19501202,0.458252,1009,98,"sink"
25239033,0.447266,912,169,"sink"
26082782,0.452148,936,102,"sink"
122350639,0.461914,1157,179,"sink"
26111117,0.455322,1035,34,"sink"
15395357,0.467773,957,70,"sink"
220059051,0.474854,1018,820,"sink"
20277043,0.440186,911,88,"sink"
46809599,0.427246,1078,103,"sink"
27775135,0.442871,1397,515,"sink"
16784624,0.435303,958,82,"sink"
69525996,0.473877,676,50,"sink"
13497609,0.456787,776,63,"sink"
32944377,0.46582,589,617,"sink"
145155127,0.496582,975,968,"sink"
21496304,0.482422,783,142,"sink"
8372139,0.467285,328,156,"sink"
12204903,0.462891,522,160,"sink"
23676566,0.453369,427,45,"sink"
13608444,0.458252,598,172,"sink"
26053272,0.431885,974,32,"sink"
15586733,0.466553,823,68,"sink"
14556617,0.488037,536,226,"sink"
65614135,0.378418,1389,117,"snap"
32404227,0.419189,988,39,"snap"
37491904,0.384277,788,146,"snap"
13071537,0.450684,987,46,"snap"
24796444,0.429688,954,736,"snap"
11824534,0.456787,1062,35,"snap"
38561684,0.393555,956,123,"snap"
15836293,0.44873,996,36,"snap"
23649043,0.431885,811,50,"snap"
25496728,0.412598,841,115,"snap"
34938352,0.41333,1037,91,"snap"
